Dates,Time,Category,DayOfWeek,PdDistrict,Resolution                                                                        ,
15/09/2009,12:30:00,LARCENY\/THEFT,Tuesday,MISSION,ARREST,BOOKED
28/01/2005,13:00:00,BURGLARY,Friday,MISSION,NONE,
29/01/2005,20:00:00,NON-CRIMINAL,Saturday,MISSION,NONE,
17/05/2005,01:07:00,DRUG\/NARCOTIC,Tuesday,SOUTHERN,ARREST,BOOKED
24/01/2007,17:41:00,RECOVERED VEHICLE,Wednesday,INGLESIDE,NONE,
08/03/2014,18:14:00,SUSPICIOUS OCC,Saturday,BAYVIEW,NOT PROSECUTED,
27/02/2011,15:30:00,LARCENY\/THEFT,Sunday,CENTRAL,NONE,
18/08/2004,10:02:00,FRAUD,Wednesday,SOUTHERN,ARREST,BOOKED
15/12/2006,00:30:00,TRESPASS,Friday,CENTRAL,ARREST,BOOKED
26/07/2003,12:00:00,LARCENY\/THEFT,Saturday,INGLESIDE,NONE,
20/09/2003,18:30:00,MISSING PERSON,Saturday,TARAVAL,NONE,
04/04/2014,18:00:00,VEHICLE THEFT,Friday,RICHMOND,NONE,
12/06/2013,22:02:00,LARCENY\/THEFT,Wednesday,NORTHERN,NONE,
01/06/2003,19:38:00,ASSAULT,Sunday,INGLESIDE,NONE,
12/11/2012,15:59:00,LARCENY\/THEFT,Monday,TENDERLOIN,ARREST,BOOKED
03/09/2009,10:00:00,NON-CRIMINAL,Thursday,SOUTHERN,NONE,
15/01/2005,14:20:00,DRUG\/NARCOTIC,Saturday,TENDERLOIN,ARREST,BOOKED
22/04/2007,09:31:00,TRESPASS,Sunday,INGLESIDE,ARREST,BOOKED
20/02/2013,19:20:00,PROSTITUTION,Wednesday,MISSION,NONE,
18/05/2012,17:30:00,SUSPICIOUS OCC,Friday,SOUTHERN,NONE,
18/06/2010,11:30:00,SUSPICIOUS OCC,Friday,BAYVIEW,NONE,
18/04/2009,02:00:00,VEHICLE THEFT,Saturday,SOUTHERN,NONE,
24/07/2006,22:00:00,ASSAULT,Monday,BAYVIEW,NONE,
13/11/2008,21:30:00,VEHICLE THEFT,Thursday,BAYVIEW,NONE,
01/11/2012,01:30:00,LARCENY\/THEFT,Thursday,SOUTHERN,NONE,
19/09/2007,09:30:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
11/01/2011,21:17:00,ASSAULT,Tuesday,SOUTHERN,UNFOUNDED,
16/06/2006,18:00:00,VANDALISM,Friday,NORTHERN,NONE,
03/04/2014,09:00:00,ASSAULT,Thursday,PARK,NONE,
04/03/2013,18:32:00,LARCENY\/THEFT,Monday,SOUTHERN,NONE,
03/11/2013,08:14:00,ROBBERY,Sunday,INGLESIDE,NONE,
08/07/2009,18:00:00,VANDALISM,Wednesday,SOUTHERN,NONE,
18/04/2003,11:30:00,FRAUD,Friday,SOUTHERN,NONE,
21/02/2012,15:00:00,VANDALISM,Tuesday,INGLESIDE,NONE,
10/02/2010,06:45:00,LARCENY\/THEFT,Wednesday,CENTRAL,NONE,
12/07/2006,12:30:00,MISSING PERSON,Wednesday,TARAVAL,NONE,
29/04/2014,13:40:00,OTHER OFFENSES,Tuesday,TARAVAL,ARREST,CITED
24/08/2005,13:30:00,LARCENY\/THEFT,Wednesday,NORTHERN,NONE,
29/06/2014,13:26:00,LARCENY\/THEFT,Sunday,SOUTHERN,NONE,
29/04/2015,10:40:00,LARCENY\/THEFT,Wednesday,NORTHERN,NONE,
27/10/2008,18:00:00,LARCENY\/THEFT,Monday,MISSION,NONE,
20/09/2010,12:00:00,FRAUD,Monday,SOUTHERN,NONE,
06/02/2009,16:05:00,SUSPICIOUS OCC,Friday,NORTHERN,NOT PROSECUTED,
14/05/2003,09:30:00,NON-CRIMINAL,Wednesday,SOUTHERN,NONE,
11/12/2003,10:14:00,ASSAULT,Thursday,BAYVIEW,ARREST,BOOKED
02/12/2006,17:00:00,BURGLARY,Saturday,SOUTHERN,NONE,
31/10/2012,14:52:00,SUSPICIOUS OCC,Wednesday,SOUTHERN,NONE,
04/10/2011,13:36:00,DRUNKENNESS,Tuesday,TENDERLOIN,ARREST,CITED
11/02/2012,12:00:00,NON-CRIMINAL,Saturday,NORTHERN,NONE,
26/01/2010,12:15:00,VEHICLE THEFT,Tuesday,CENTRAL,NONE,
16/05/2007,08:30:00,BURGLARY,Wednesday,NORTHERN,NONE,
27/04/2009,11:33:00,DRUG\/NARCOTIC,Monday,SOUTHERN,ARREST,BOOKED
07/08/2004,07:14:00,OTHER OFFENSES,Saturday,BAYVIEW,ARREST,CITED
09/09/2012,22:49:00,SUSPICIOUS OCC,Sunday,SOUTHERN,NONE,
22/02/2010,01:04:00,SUSPICIOUS OCC,Monday,SOUTHERN,ARREST,CITED
06/10/2012,00:01:00,SEX OFFENSES FORCIBLE,Saturday,SOUTHERN,DISTRICT ATTORNEY REFUSES TO PROSECUTE,
17/05/2014,09:24:00,WARRANTS,Saturday,SOUTHERN,ARREST,BOOKED
23/03/2011,08:00:00,FRAUD,Wednesday,NORTHERN,NONE,
20/04/2014,03:31:00,DISORDERLY CONDUCT,Sunday,MISSION,ARREST,BOOKED
29/06/2007,13:30:00,VEHICLE THEFT,Friday,NORTHERN,NONE,
09/01/2007,10:00:00,FRAUD,Tuesday,PARK,ARREST,BOOKED
17/11/2006,18:30:00,LARCENY\/THEFT,Friday,SOUTHERN,NONE,
12/11/2013,22:00:00,LARCENY\/THEFT,Tuesday,SOUTHERN,NONE,
13/05/2009,20:19:00,WARRANTS,Wednesday,PARK,ARREST,BOOKED
18/08/2004,21:00:00,VANDALISM,Wednesday,BAYVIEW,NONE,
11/03/2010,23:00:00,VANDALISM,Thursday,PARK,NONE,
08/02/2009,22:21:00,VANDALISM,Sunday,TENDERLOIN,NONE,
04/12/2011,11:00:00,NON-CRIMINAL,Sunday,BAYVIEW,NONE,
17/05/2014,02:30:00,ROBBERY,Saturday,BAYVIEW,NONE,
26/01/2007,09:30:00,NON-CRIMINAL,Friday,BAYVIEW,NONE,
10/07/2014,10:45:00,FORGERY\/COUNTERFEITING,Thursday,NORTHERN,NONE,
02/05/2007,08:37:00,WEAPON LAWS,Wednesday,TENDERLOIN,ARREST,BOOKED
31/05/2003,19:00:00,VEHICLE THEFT,Saturday,SOUTHERN,NONE,
14/11/2014,22:00:00,LARCENY\/THEFT,Friday,RICHMOND,NONE,
22/08/2007,23:15:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
14/11/2008,19:50:00,ROBBERY,Friday,NORTHERN,NONE,
03/11/2012,21:00:00,LARCENY\/THEFT,Saturday,NORTHERN,NONE,
07/04/2012,03:05:00,ASSAULT,Saturday,PARK,ARREST,BOOKED
04/02/2013,18:50:00,WEAPON LAWS,Monday,RICHMOND,JUVENILE BOOKED,
05/08/2013,19:50:00,NON-CRIMINAL,Monday,BAYVIEW,PSYCHOPATHIC CASE,
22/05/2010,03:39:00,DRUG\/NARCOTIC,Saturday,NORTHERN,ARREST,BOOKED
05/02/2013,18:45:00,LARCENY\/THEFT,Tuesday,NORTHERN,NONE,
07/01/2014,13:55:00,OTHER OFFENSES,Tuesday,SOUTHERN,ARREST,CITED
08/06/2009,20:00:00,LARCENY\/THEFT,Monday,TARAVAL,NONE,
13/10/2014,14:00:00,WEAPON LAWS,Monday,INGLESIDE,NONE,
09/02/2014,04:00:00,BURGLARY,Sunday,CENTRAL,NONE,
24/03/2005,11:45:00,VEHICLE THEFT,Thursday,MISSION,NONE,
09/02/2006,00:49:00,ASSAULT,Thursday,CENTRAL,NONE,
28/01/2006,00:30:00,ROBBERY,Saturday,PARK,NONE,
15/10/2012,06:44:00,OTHER OFFENSES,Monday,PARK,ARREST,BOOKED
02/02/2004,19:00:00,FRAUD,Monday,NORTHERN,NONE,
09/08/2003,18:00:00,LARCENY\/THEFT,Saturday,SOUTHERN,NONE,
18/02/2013,14:03:00,ASSAULT,Monday,MISSION,NONE,
13/06/2012,04:45:00,OTHER OFFENSES,Wednesday,SOUTHERN,ARREST,BOOKED
18/03/2003,18:00:00,OTHER OFFENSES,Tuesday,SOUTHERN,ARREST,BOOKED
15/06/2005,05:00:00,NON-CRIMINAL,Wednesday,NORTHERN,NONE,
06/01/2014,10:30:00,FORGERY\/COUNTERFEITING,Monday,BAYVIEW,NONE,
01/09/2003,16:00:00,VEHICLE THEFT,Monday,BAYVIEW,NONE,
27/10/2004,20:30:00,DRUG\/NARCOTIC,Wednesday,TENDERLOIN,ARREST,BOOKED
04/05/2011,04:28:00,ASSAULT,Wednesday,CENTRAL,NONE,
22/02/2007,22:30:00,NON-CRIMINAL,Thursday,SOUTHERN,NONE,
09/02/2006,16:00:00,LARCENY\/THEFT,Thursday,BAYVIEW,NONE,
04/07/2010,01:04:00,DRIVING UNDER THE INFLUENCE,Sunday,NORTHERN,ARREST,CITED
21/05/2006,07:30:00,VANDALISM,Sunday,SOUTHERN,NONE,
25/01/2009,15:00:00,LARCENY\/THEFT,Sunday,NORTHERN,NONE,
25/01/2014,01:45:00,LARCENY\/THEFT,Saturday,NORTHERN,NONE,
13/06/2014,19:15:00,LARCENY\/THEFT,Friday,SOUTHERN,NONE,
11/07/2011,13:00:00,LARCENY\/THEFT,Monday,SOUTHERN,NONE,
09/05/2010,17:00:00,VANDALISM,Sunday,CENTRAL,NONE,
18/02/2008,07:00:00,LOITERING,Monday,MISSION,ARREST,CITED
19/05/2006,11:45:00,LARCENY\/THEFT,Friday,INGLESIDE,NONE,
12/02/2006,06:30:00,LARCENY\/THEFT,Sunday,BAYVIEW,NONE,
28/12/2005,02:40:00,VANDALISM,Wednesday,TARAVAL,NONE,
15/11/2007,10:00:00,ASSAULT,Thursday,NORTHERN,NONE,
04/08/2003,17:30:00,LARCENY\/THEFT,Monday,TARAVAL,NONE,
29/11/2006,14:05:00,WARRANTS,Wednesday,SOUTHERN,ARREST,BOOKED
05/08/2009,22:45:00,OTHER OFFENSES,Wednesday,INGLESIDE,ARREST,CITED
19/02/2009,19:00:00,LARCENY\/THEFT,Thursday,NORTHERN,NONE,
19/03/2009,16:48:00,DRUG\/NARCOTIC,Thursday,BAYVIEW,ARREST,BOOKED
15/12/2013,01:53:00,OTHER OFFENSES,Sunday,TARAVAL,ARREST,CITED
04/11/2012,08:30:00,NON-CRIMINAL,Sunday,RICHMOND,NONE,
17/01/2010,19:00:00,ROBBERY,Sunday,INGLESIDE,NONE,
20/08/2004,18:00:00,VANDALISM,Friday,MISSION,NONE,
01/06/2012,21:30:00,LARCENY\/THEFT,Friday,SOUTHERN,NONE,
23/07/2004,02:24:00,WARRANTS,Friday,CENTRAL,ARREST,BOOKED
07/10/2007,01:22:00,LARCENY\/THEFT,Sunday,SOUTHERN,ARREST,BOOKED
11/06/2003,23:30:00,ASSAULT,Wednesday,MISSION,NONE,
26/01/2013,09:00:00,VEHICLE THEFT,Saturday,NORTHERN,NONE,
17/10/2012,08:00:00,VANDALISM,Wednesday,TARAVAL,NONE,
26/10/2004,10:43:00,TRESPASS,Tuesday,TENDERLOIN,ARREST,CITED
04/04/2007,10:09:00,OTHER OFFENSES,Wednesday,SOUTHERN,ARREST,BOOKED
27/10/2014,19:10:00,LARCENY\/THEFT,Monday,RICHMOND,NONE,
15/12/2011,12:00:00,OTHER OFFENSES,Thursday,PARK,NONE,
16/01/2005,23:08:00,DRUNKENNESS,Sunday,NORTHERN,ARREST,BOOKED
27/12/2008,20:00:00,NON-CRIMINAL,Saturday,SOUTHERN,NONE,
02/10/2009,23:40:00,OTHER OFFENSES,Friday,INGLESIDE,ARREST,CITED
05/02/2014,13:00:00,LARCENY\/THEFT,Wednesday,INGLESIDE,NONE,
07/10/2010,01:00:00,LARCENY\/THEFT,Thursday,NORTHERN,NONE,
17/10/2008,09:30:00,NON-CRIMINAL,Friday,INGLESIDE,NONE,
27/04/2004,15:20:00,ASSAULT,Tuesday,TARAVAL,NONE,
29/11/2007,17:50:00,NON-CRIMINAL,Thursday,MISSION,PSYCHOPATHIC CASE,
23/07/2003,12:40:00,VEHICLE THEFT,Wednesday,SOUTHERN,NONE,
10/02/2005,07:10:00,BURGLARY,Thursday,SOUTHERN,NONE,
03/04/2003,10:00:00,OTHER OFFENSES,Thursday,SOUTHERN,ARREST,CITED
04/05/2007,09:00:00,FRAUD,Friday,BAYVIEW,NONE,
14/02/2010,22:40:00,ASSAULT,Sunday,SOUTHERN,NONE,
25/08/2010,21:00:00,NON-CRIMINAL,Wednesday,PARK,PSYCHOPATHIC CASE,
10/02/2013,04:12:00,DRIVING UNDER THE INFLUENCE,Sunday,MISSION,NONE,
28/12/2007,16:39:00,WARRANTS,Friday,MISSION,ARREST,BOOKED
07/08/2009,21:25:00,ASSAULT,Friday,NORTHERN,ARREST,BOOKED
26/06/2004,11:00:00,NON-CRIMINAL,Saturday,CENTRAL,NOT PROSECUTED,
26/11/2003,18:00:00,BURGLARY,Wednesday,CENTRAL,NONE,
22/07/2004,22:30:00,WARRANTS,Thursday,TENDERLOIN,ARREST,BOOKED
13/05/2015,16:00:00,LARCENY\/THEFT,Wednesday,RICHMOND,NONE,
19/10/2014,16:00:00,ASSAULT,Sunday,CENTRAL,NONE,
02/12/2005,13:35:00,OTHER OFFENSES,Friday,INGLESIDE,NONE,
26/11/2007,00:38:00,LARCENY\/THEFT,Monday,PARK,NONE,
16/10/2003,20:21:00,OTHER OFFENSES,Thursday,SOUTHERN,ARREST,CITED
29/04/2013,19:35:00,FRAUD,Monday,SOUTHERN,JUVENILE BOOKED,
10/01/2004,13:24:00,DRUG\/NARCOTIC,Saturday,MISSION,ARREST,BOOKED
26/12/2005,22:00:00,VEHICLE THEFT,Monday,SOUTHERN,NONE,
09/03/2010,16:35:00,ROBBERY,Tuesday,MISSION,NONE,
14/07/2012,12:25:00,NON-CRIMINAL,Saturday,SOUTHERN,NONE,
14/05/2003,17:00:00,NON-CRIMINAL,Wednesday,SOUTHERN,NONE,
20/02/2003,19:49:00,ASSAULT,Thursday,NORTHERN,NONE,
22/04/2010,22:00:00,LARCENY\/THEFT,Thursday,SOUTHERN,NONE,
09/02/2006,22:28:00,OTHER OFFENSES,Thursday,TENDERLOIN,ARREST,BOOKED
26/11/2014,00:51:00,DRIVING UNDER THE INFLUENCE,Wednesday,TARAVAL,ARREST,BOOKED
13/02/2011,14:46:00,OTHER OFFENSES,Sunday,TENDERLOIN,ARREST,BOOKED
12/06/2006,13:20:00,ASSAULT,Monday,BAYVIEW,NONE,
21/05/2005,00:15:00,DRUG\/NARCOTIC,Saturday,INGLESIDE,NONE,
19/11/2006,23:00:00,VANDALISM,Sunday,CENTRAL,NONE,
10/11/2009,12:00:00,BAD CHECKS,Tuesday,RICHMOND,NONE,
22/12/2003,19:10:00,LARCENY\/THEFT,Monday,RICHMOND,NONE,
10/03/2005,01:06:00,OTHER OFFENSES,Thursday,BAYVIEW,ARREST,BOOKED
09/01/2015,00:01:00,MISSING PERSON,Friday,SOUTHERN,NONE,
24/01/2013,20:54:00,OTHER OFFENSES,Thursday,MISSION,NONE,
01/04/2009,14:43:00,OTHER OFFENSES,Wednesday,NORTHERN,ARREST,BOOKED
08/06/2004,14:30:00,ASSAULT,Tuesday,INGLESIDE,NONE,
12/08/2011,16:40:00,LARCENY\/THEFT,Friday,MISSION,ARREST,BOOKED
17/05/2009,12:48:00,MISSING PERSON,Sunday,BAYVIEW,NONE,
27/04/2015,11:35:00,OTHER OFFENSES,Monday,INGLESIDE,ARREST,BOOKED
06/09/2008,11:15:00,MISSING PERSON,Saturday,MISSION,JUVENILE BOOKED,
29/05/2007,02:30:00,WEAPON LAWS,Tuesday,CENTRAL,ARREST,BOOKED
28/06/2003,19:26:00,ASSAULT,Saturday,MISSION,ARREST,BOOKED
19/02/2013,13:28:00,ASSAULT,Tuesday,NORTHERN,NONE,
22/03/2003,03:00:00,OTHER OFFENSES,Saturday,RICHMOND,NONE,
10/03/2007,00:30:00,OTHER OFFENSES,Saturday,SOUTHERN,ARREST,BOOKED
24/12/2007,20:28:00,ASSAULT,Monday,CENTRAL,NONE,
12/08/2005,16:00:00,VANDALISM,Friday,PARK,NONE,
28/12/2006,06:40:00,WARRANTS,Thursday,CENTRAL,ARREST,BOOKED
26/01/2010,08:30:00,SUSPICIOUS OCC,Tuesday,RICHMOND,NONE,
01/05/2009,02:30:00,OTHER OFFENSES,Friday,MISSION,DISTRICT ATTORNEY REFUSES TO PROSECUTE,
10/08/2003,16:00:00,ASSAULT,Sunday,MISSION,NONE,
28/05/2008,16:45:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
11/02/2007,03:00:00,VEHICLE THEFT,Sunday,INGLESIDE,NONE,
28/11/2005,16:00:00,VEHICLE THEFT,Monday,MISSION,NONE,
09/03/2011,14:42:00,NON-CRIMINAL,Wednesday,CENTRAL,PSYCHOPATHIC CASE,
27/07/2012,13:50:00,NON-CRIMINAL,Friday,TARAVAL,NONE,
24/02/2010,16:35:00,VEHICLE THEFT,Wednesday,BAYVIEW,NONE,
18/05/2013,18:00:00,LARCENY\/THEFT,Saturday,SOUTHERN,NONE,
26/03/2010,19:18:00,WARRANTS,Friday,NORTHERN,ARREST,BOOKED
09/08/2003,21:15:00,OTHER OFFENSES,Saturday,BAYVIEW,ARREST,CITED
06/09/2006,06:45:00,VANDALISM,Wednesday,TENDERLOIN,NONE,
22/12/2003,01:00:00,VEHICLE THEFT,Monday,INGLESIDE,NONE,
01/04/2009,07:38:00,DRUG\/NARCOTIC,Wednesday,TENDERLOIN,ARREST,CITED
20/04/2006,17:00:00,ROBBERY,Thursday,TARAVAL,NONE,
08/01/2013,14:00:00,ROBBERY,Tuesday,NORTHERN,NONE,
28/12/2013,21:30:00,VEHICLE THEFT,Saturday,INGLESIDE,NONE,
10/01/2011,14:53:00,OTHER OFFENSES,Monday,MISSION,ARREST,CITED
02/05/2009,19:50:00,LARCENY\/THEFT,Saturday,RICHMOND,ARREST,BOOKED
19/09/2009,14:30:00,NON-CRIMINAL,Saturday,MISSION,NONE,
28/07/2012,16:11:00,ASSAULT,Saturday,TARAVAL,NONE,
25/12/2003,19:40:00,OTHER OFFENSES,Thursday,PARK,NONE,
18/06/2006,20:00:00,OTHER OFFENSES,Sunday,CENTRAL,ARREST,CITED
26/08/2007,03:50:00,DRUNKENNESS,Sunday,CENTRAL,ARREST,BOOKED
20/05/2010,10:00:00,LARCENY\/THEFT,Thursday,SOUTHERN,NONE,
14/08/2011,16:57:00,NON-CRIMINAL,Sunday,CENTRAL,NONE,
24/08/2011,08:15:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
05/06/2005,00:01:00,VANDALISM,Sunday,TARAVAL,NONE,
20/01/2004,16:50:00,LARCENY\/THEFT,Tuesday,RICHMOND,NONE,
04/11/2012,02:00:00,LARCENY\/THEFT,Sunday,INGLESIDE,NONE,
29/06/2012,14:55:00,NON-CRIMINAL,Friday,SOUTHERN,PSYCHOPATHIC CASE,
13/06/2009,18:10:00,OTHER OFFENSES,Saturday,BAYVIEW,PSYCHOPATHIC CASE,
06/09/2014,02:00:00,OTHER OFFENSES,Saturday,NORTHERN,ARREST,CITED
02/11/2010,03:00:00,SECONDARY CODES,Tuesday,MISSION,NONE,
13/06/2013,16:33:00,DRUG\/NARCOTIC,Thursday,TENDERLOIN,NONE,
01/06/2012,16:30:00,NON-CRIMINAL,Friday,PARK,NONE,
19/03/2012,19:30:00,LARCENY\/THEFT,Monday,SOUTHERN,NONE,
29/06/2003,15:00:00,VEHICLE THEFT,Sunday,MISSION,NONE,
23/10/2010,19:30:00,LARCENY\/THEFT,Saturday,NORTHERN,NONE,
27/06/2014,13:40:00,ROBBERY,Friday,TARAVAL,NONE,
29/01/2006,00:01:00,FORGERY\/COUNTERFEITING,Sunday,TARAVAL,NOT PROSECUTED,
25/08/2011,14:45:00,LARCENY\/THEFT,Thursday,TARAVAL,ARREST,CITED
08/02/2003,03:46:00,ASSAULT,Saturday,CENTRAL,NONE,
02/04/2013,18:11:00,DRUG\/NARCOTIC,Tuesday,SOUTHERN,ARREST,BOOKED
08/09/2013,10:36:00,WARRANTS,Sunday,TENDERLOIN,ARREST,BOOKED
24/03/2011,17:15:00,VEHICLE THEFT,Thursday,MISSION,NONE,
08/10/2011,21:00:00,ASSAULT,Saturday,RICHMOND,NONE,
11/07/2008,22:00:00,VANDALISM,Friday,BAYVIEW,NONE,
01/07/2007,17:48:00,OTHER OFFENSES,Sunday,MISSION,ARREST,CITED
26/08/2006,06:00:00,VEHICLE THEFT,Saturday,NORTHERN,DISTRICT ATTORNEY REFUSES TO PROSECUTE,
18/05/2014,09:00:00,NON-CRIMINAL,Sunday,RICHMOND,NONE,
12/07/2006,22:00:00,KIDNAPPING,Wednesday,MISSION,ARREST,BOOKED
09/12/2014,17:59:00,NON-CRIMINAL,Tuesday,SOUTHERN,NONE,
22/02/2015,14:19:00,SUSPICIOUS OCC,Sunday,BAYVIEW,UNFOUNDED,
21/02/2008,00:18:00,ASSAULT,Thursday,CENTRAL,ARREST,BOOKED
31/10/2003,21:40:00,VANDALISM,Friday,SOUTHERN,NONE,
02/05/2008,18:40:00,DRUG\/NARCOTIC,Friday,NORTHERN,ARREST,BOOKED
27/11/2013,15:00:00,LARCENY\/THEFT,Wednesday,NORTHERN,NONE,
11/12/2009,00:18:00,ASSAULT,Friday,MISSION,ARREST,BOOKED
26/12/2004,14:00:00,FRAUD,Sunday,NORTHERN,NONE,
21/10/2007,06:01:00,OTHER OFFENSES,Sunday,MISSION,ARREST,BOOKED
30/05/2012,08:00:00,FRAUD,Wednesday,BAYVIEW,NONE,
04/04/2015,13:55:00,NON-CRIMINAL,Saturday,INGLESIDE,NONE,
05/05/2005,22:15:00,LARCENY\/THEFT,Thursday,CENTRAL,NONE,
01/10/2013,09:10:00,LARCENY\/THEFT,Tuesday,SOUTHERN,NONE,
11/09/2010,19:46:00,DRUG\/NARCOTIC,Saturday,TENDERLOIN,ARREST,BOOKED
24/01/2015,18:00:00,OTHER OFFENSES,Saturday,CENTRAL,NONE,
22/03/2013,16:00:00,LARCENY\/THEFT,Friday,INGLESIDE,NONE,
06/03/2015,22:15:00,OTHER OFFENSES,Friday,CENTRAL,NONE,
23/08/2006,11:19:00,OTHER OFFENSES,Wednesday,BAYVIEW,ARREST,BOOKED
