Day,Month,Years,Hour,Category,DayOfWeek,PdDistrict,Resolution                                                                        
9,9,2012,22,SUSPICIOUS OCC,Sunday,SOUTHERN,NONE
22,2,2010,1,SUSPICIOUS OCC,Monday,SOUTHERN,ARREST
6,10,2012,0,SEX OFFENSES FORCIBLE,Saturday,SOUTHERN,DISTRICT ATTORNEY REFUSES TO PROSECUTE
17,5,2014,9,WARRANTS,Saturday,SOUTHERN,ARREST
23,3,2011,8,FRAUD,Wednesday,NORTHERN,NONE
20,4,2014,3,DISORDERLY CONDUCT,Sunday,MISSION,ARREST
29,6,2007,13,VEHICLE THEFT,Friday,NORTHERN,NONE
9,1,2007,10,FRAUD,Tuesday,PARK,ARREST
17,11,2006,18,LARCENY\/THEFT,Friday,SOUTHERN,NONE
12,11,2013,22,LARCENY\/THEFT,Tuesday,SOUTHERN,NONE
13,5,2009,20,WARRANTS,Wednesday,PARK,ARREST
18,8,2004,21,VANDALISM,Wednesday,BAYVIEW,NONE
11,3,2010,23,VANDALISM,Thursday,PARK,NONE
8,2,2009,22,VANDALISM,Sunday,TENDERLOIN,NONE
4,12,2011,11,NON-CRIMINAL,Sunday,BAYVIEW,NONE
17,5,2014,2,ROBBERY,Saturday,BAYVIEW,NONE
26,1,2007,9,NON-CRIMINAL,Friday,BAYVIEW,NONE
10,7,2014,10,FORGERY\/COUNTERFEITING,Thursday,NORTHERN,NONE
2,5,2007,8,WEAPON LAWS,Wednesday,TENDERLOIN,ARREST
31,5,2003,19,VEHICLE THEFT,Saturday,SOUTHERN,NONE
14,11,2014,22,LARCENY\/THEFT,Friday,RICHMOND,NONE
22,8,2007,23,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE
14,11,2008,19,ROBBERY,Friday,NORTHERN,NONE
3,11,2012,21,LARCENY\/THEFT,Saturday,NORTHERN,NONE
7,4,2012,3,ASSAULT,Saturday,PARK,ARREST
4,2,2013,18,WEAPON LAWS,Monday,RICHMOND,JUVENILE BOOKED
5,8,2013,19,NON-CRIMINAL,Monday,BAYVIEW,PSYCHOPATHIC CASE
22,5,2010,3,DRUG\/NARCOTIC,Saturday,NORTHERN,ARREST
5,2,2013,18,LARCENY\/THEFT,Tuesday,NORTHERN,NONE
7,1,2014,13,OTHER OFFENSES,Tuesday,SOUTHERN,ARREST
8,6,2009,20,LARCENY\/THEFT,Monday,TARAVAL,NONE
13,10,2014,14,WEAPON LAWS,Monday,INGLESIDE,NONE
9,2,2014,4,BURGLARY,Sunday,CENTRAL,NONE
24,3,2005,11,VEHICLE THEFT,Thursday,MISSION,NONE
9,2,2006,0,ASSAULT,Thursday,CENTRAL,NONE
28,1,2006,0,ROBBERY,Saturday,PARK,NONE
15,10,2012,6,OTHER OFFENSES,Monday,PARK,ARREST
2,2,2004,19,FRAUD,Monday,NORTHERN,NONE
9,8,2003,18,LARCENY\/THEFT,Saturday,SOUTHERN,NONE
18,2,2013,14,ASSAULT,Monday,MISSION,NONE
13,6,2012,4,OTHER OFFENSES,Wednesday,SOUTHERN,ARREST
18,3,2003,18,OTHER OFFENSES,Tuesday,SOUTHERN,ARREST
15,6,2005,5,NON-CRIMINAL,Wednesday,NORTHERN,NONE
6,1,2014,10,FORGERY\/COUNTERFEITING,Monday,BAYVIEW,NONE
1,9,2003,16,VEHICLE THEFT,Monday,BAYVIEW,NONE
27,10,2004,20,DRUG\/NARCOTIC,Wednesday,TENDERLOIN,ARREST
4,5,2011,4,ASSAULT,Wednesday,CENTRAL,NONE
22,2,2007,22,NON-CRIMINAL,Thursday,SOUTHERN,NONE
9,2,2006,16,LARCENY\/THEFT,Thursday,BAYVIEW,NONE
4,7,2010,1,DRIVING UNDER THE INFLUENCE,Sunday,NORTHERN,ARREST
21,5,2006,7,VANDALISM,Sunday,SOUTHERN,NONE
25,1,2009,15,LARCENY\/THEFT,Sunday,NORTHERN,NONE
25,1,2014,1,LARCENY\/THEFT,Saturday,NORTHERN,NONE
13,6,2014,19,LARCENY\/THEFT,Friday,SOUTHERN,NONE
11,7,2011,13,LARCENY\/THEFT,Monday,SOUTHERN,NONE
9,5,2010,17,VANDALISM,Sunday,CENTRAL,NONE
18,2,2008,7,LOITERING,Monday,MISSION,ARREST
19,5,2006,11,LARCENY\/THEFT,Friday,INGLESIDE,NONE
12,2,2006,6,LARCENY\/THEFT,Sunday,BAYVIEW,NONE
28,12,2005,2,VANDALISM,Wednesday,TARAVAL,NONE
15,11,2007,10,ASSAULT,Thursday,NORTHERN,NONE
4,8,2003,17,LARCENY\/THEFT,Monday,TARAVAL,NONE
29,11,2006,14,WARRANTS,Wednesday,SOUTHERN,ARREST
5,8,2009,22,OTHER OFFENSES,Wednesday,INGLESIDE,ARREST
19,2,2009,19,LARCENY\/THEFT,Thursday,NORTHERN,NONE
19,3,2009,16,DRUG\/NARCOTIC,Thursday,BAYVIEW,ARREST
15,12,2013,1,OTHER OFFENSES,Sunday,TARAVAL,ARREST
4,11,2012,8,NON-CRIMINAL,Sunday,RICHMOND,NONE
17,1,2010,19,ROBBERY,Sunday,INGLESIDE,NONE
20,8,2004,18,VANDALISM,Friday,MISSION,NONE
1,6,2012,21,LARCENY\/THEFT,Friday,SOUTHERN,NONE
23,7,2004,2,WARRANTS,Friday,CENTRAL,ARREST
7,10,2007,1,LARCENY\/THEFT,Sunday,SOUTHERN,ARREST
11,6,2003,23,ASSAULT,Wednesday,MISSION,NONE
26,1,2013,9,VEHICLE THEFT,Saturday,NORTHERN,NONE
17,10,2012,8,VANDALISM,Wednesday,TARAVAL,NONE
26,10,2004,10,TRESPASS,Tuesday,TENDERLOIN,ARREST
4,4,2007,10,OTHER OFFENSES,Wednesday,SOUTHERN,ARREST
27,10,2014,19,LARCENY\/THEFT,Monday,RICHMOND,NONE
15,12,2011,12,OTHER OFFENSES,Thursday,PARK,NONE
16,1,2005,23,DRUNKENNESS,Sunday,NORTHERN,ARREST
27,12,2008,20,NON-CRIMINAL,Saturday,SOUTHERN,NONE
2,10,2009,23,OTHER OFFENSES,Friday,INGLESIDE,ARREST
5,2,2014,13,LARCENY\/THEFT,Wednesday,INGLESIDE,NONE
7,10,2010,1,LARCENY\/THEFT,Thursday,NORTHERN,NONE
17,10,2008,9,NON-CRIMINAL,Friday,INGLESIDE,NONE
27,4,2004,15,ASSAULT,Tuesday,TARAVAL,NONE
29,11,2007,17,NON-CRIMINAL,Thursday,MISSION,PSYCHOPATHIC CASE
23,7,2003,12,VEHICLE THEFT,Wednesday,SOUTHERN,NONE
10,2,2005,7,BURGLARY,Thursday,SOUTHERN,NONE
3,4,2003,10,OTHER OFFENSES,Thursday,SOUTHERN,ARREST
4,5,2007,9,FRAUD,Friday,BAYVIEW,NONE
14,2,2010,22,ASSAULT,Sunday,SOUTHERN,NONE
25,8,2010,21,NON-CRIMINAL,Wednesday,PARK,PSYCHOPATHIC CASE
10,2,2013,4,DRIVING UNDER THE INFLUENCE,Sunday,MISSION,NONE
28,12,2007,16,WARRANTS,Friday,MISSION,ARREST
7,8,2009,21,ASSAULT,Friday,NORTHERN,ARREST
26,6,2004,11,NON-CRIMINAL,Saturday,CENTRAL,NOT PROSECUTED
26,11,2003,18,BURGLARY,Wednesday,CENTRAL,NONE
22,7,2004,22,WARRANTS,Thursday,TENDERLOIN,ARREST
13,5,2015,16,LARCENY\/THEFT,Wednesday,RICHMOND,NONE
19,10,2014,16,ASSAULT,Sunday,CENTRAL,NONE
2,12,2005,13,OTHER OFFENSES,Friday,INGLESIDE,NONE
26,11,2007,0,LARCENY\/THEFT,Monday,PARK,NONE
16,10,2003,20,OTHER OFFENSES,Thursday,SOUTHERN,ARREST
29,4,2013,19,FRAUD,Monday,SOUTHERN,JUVENILE BOOKED
10,1,2004,13,DRUG\/NARCOTIC,Saturday,MISSION,ARREST
26,12,2005,22,VEHICLE THEFT,Monday,SOUTHERN,NONE
9,3,2010,16,ROBBERY,Tuesday,MISSION,NONE
14,7,2012,12,NON-CRIMINAL,Saturday,SOUTHERN,NONE
14,5,2003,17,NON-CRIMINAL,Wednesday,SOUTHERN,NONE
20,2,2003,19,ASSAULT,Thursday,NORTHERN,NONE
22,4,2010,22,LARCENY\/THEFT,Thursday,SOUTHERN,NONE
9,2,2006,22,OTHER OFFENSES,Thursday,TENDERLOIN,ARREST
26,11,2014,0,DRIVING UNDER THE INFLUENCE,Wednesday,TARAVAL,ARREST
13,2,2011,14,OTHER OFFENSES,Sunday,TENDERLOIN,ARREST
12,6,2006,13,ASSAULT,Monday,BAYVIEW,NONE
21,5,2005,0,DRUG\/NARCOTIC,Saturday,INGLESIDE,NONE
19,11,2006,23,VANDALISM,Sunday,CENTRAL,NONE
10,11,2009,12,BAD CHECKS,Tuesday,RICHMOND,NONE
22,12,2003,19,LARCENY\/THEFT,Monday,RICHMOND,NONE
10,3,2005,1,OTHER OFFENSES,Thursday,BAYVIEW,ARREST
9,1,2015,0,MISSING PERSON,Friday,SOUTHERN,NONE
24,1,2013,20,OTHER OFFENSES,Thursday,MISSION,NONE
1,4,2009,14,OTHER OFFENSES,Wednesday,NORTHERN,ARREST
8,6,2004,14,ASSAULT,Tuesday,INGLESIDE,NONE
12,8,2011,16,LARCENY\/THEFT,Friday,MISSION,ARREST
17,5,2009,12,MISSING PERSON,Sunday,BAYVIEW,NONE
27,4,2015,11,OTHER OFFENSES,Monday,INGLESIDE,ARREST
6,9,2008,11,MISSING PERSON,Saturday,MISSION,JUVENILE BOOKED
29,5,2007,2,WEAPON LAWS,Tuesday,CENTRAL,ARREST
28,6,2003,19,ASSAULT,Saturday,MISSION,ARREST
19,2,2013,13,ASSAULT,Tuesday,NORTHERN,NONE
22,3,2003,3,OTHER OFFENSES,Saturday,RICHMOND,NONE
10,3,2007,0,OTHER OFFENSES,Saturday,SOUTHERN,ARREST
24,12,2007,20,ASSAULT,Monday,CENTRAL,NONE
12,8,2005,16,VANDALISM,Friday,PARK,NONE
28,12,2006,6,WARRANTS,Thursday,CENTRAL,ARREST
26,1,2010,8,SUSPICIOUS OCC,Tuesday,RICHMOND,NONE
1,5,2009,2,OTHER OFFENSES,Friday,MISSION,DISTRICT ATTORNEY REFUSES TO PROSECUTE
10,8,2003,16,ASSAULT,Sunday,MISSION,NONE
28,5,2008,16,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE
11,2,2007,3,VEHICLE THEFT,Sunday,INGLESIDE,NONE
28,11,2005,16,VEHICLE THEFT,Monday,MISSION,NONE
9,3,2011,14,NON-CRIMINAL,Wednesday,CENTRAL,PSYCHOPATHIC CASE
27,7,2012,13,NON-CRIMINAL,Friday,TARAVAL,NONE
24,2,2010,16,VEHICLE THEFT,Wednesday,BAYVIEW,NONE
18,5,2013,18,LARCENY\/THEFT,Saturday,SOUTHERN,NONE
26,3,2010,19,WARRANTS,Friday,NORTHERN,ARREST
9,8,2003,21,OTHER OFFENSES,Saturday,BAYVIEW,ARREST
6,9,2006,6,VANDALISM,Wednesday,TENDERLOIN,NONE
22,12,2003,1,VEHICLE THEFT,Monday,INGLESIDE,NONE
1,4,2009,7,DRUG\/NARCOTIC,Wednesday,TENDERLOIN,ARREST
20,4,2006,17,ROBBERY,Thursday,TARAVAL,NONE
8,1,2013,14,ROBBERY,Tuesday,NORTHERN,NONE
28,12,2013,21,VEHICLE THEFT,Saturday,INGLESIDE,NONE
10,1,2011,14,OTHER OFFENSES,Monday,MISSION,ARREST
2,5,2009,19,LARCENY\/THEFT,Saturday,RICHMOND,ARREST
19,9,2009,14,NON-CRIMINAL,Saturday,MISSION,NONE
28,7,2012,16,ASSAULT,Saturday,TARAVAL,NONE
25,12,2003,19,OTHER OFFENSES,Thursday,PARK,NONE
18,6,2006,20,OTHER OFFENSES,Sunday,CENTRAL,ARREST
26,8,2007,3,DRUNKENNESS,Sunday,CENTRAL,ARREST
20,5,2010,10,LARCENY\/THEFT,Thursday,SOUTHERN,NONE
14,8,2011,16,NON-CRIMINAL,Sunday,CENTRAL,NONE
24,8,2011,8,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE
5,6,2005,0,VANDALISM,Sunday,TARAVAL,NONE
20,1,2004,16,LARCENY\/THEFT,Tuesday,RICHMOND,NONE
4,11,2012,2,LARCENY\/THEFT,Sunday,INGLESIDE,NONE
29,6,2012,14,NON-CRIMINAL,Friday,SOUTHERN,PSYCHOPATHIC CASE
13,6,2009,18,OTHER OFFENSES,Saturday,BAYVIEW,PSYCHOPATHIC CASE
6,9,2014,2,OTHER OFFENSES,Saturday,NORTHERN,ARREST
2,11,2010,3,SECONDARY CODES,Tuesday,MISSION,NONE
13,6,2013,16,DRUG\/NARCOTIC,Thursday,TENDERLOIN,NONE
1,6,2012,16,NON-CRIMINAL,Friday,PARK,NONE
19,3,2012,19,LARCENY\/THEFT,Monday,SOUTHERN,NONE
29,6,2003,15,VEHICLE THEFT,Sunday,MISSION,NONE
23,10,2010,19,LARCENY\/THEFT,Saturday,NORTHERN,NONE
27,6,2014,13,ROBBERY,Friday,TARAVAL,NONE
29,1,2006,0,FORGERY\/COUNTERFEITING,Sunday,TARAVAL,NOT PROSECUTED
25,8,2011,14,LARCENY\/THEFT,Thursday,TARAVAL,ARREST
8,2,2003,3,ASSAULT,Saturday,CENTRAL,NONE
2,4,2013,18,DRUG\/NARCOTIC,Tuesday,SOUTHERN,ARREST
8,9,2013,10,WARRANTS,Sunday,TENDERLOIN,ARREST
24,3,2011,17,VEHICLE THEFT,Thursday,MISSION,NONE
8,10,2011,21,ASSAULT,Saturday,RICHMOND,NONE
11,7,2008,22,VANDALISM,Friday,BAYVIEW,NONE
1,7,2007,17,OTHER OFFENSES,Sunday,MISSION,ARREST
26,8,2006,6,VEHICLE THEFT,Saturday,NORTHERN,DISTRICT ATTORNEY REFUSES TO PROSECUTE
18,5,2014,9,NON-CRIMINAL,Sunday,RICHMOND,NONE
12,7,2006,22,KIDNAPPING,Wednesday,MISSION,ARREST
9,12,2014,17,NON-CRIMINAL,Tuesday,SOUTHERN,NONE
22,2,2015,14,SUSPICIOUS OCC,Sunday,BAYVIEW,UNFOUNDED
21,2,2008,0,ASSAULT,Thursday,CENTRAL,ARREST
31,10,2003,21,VANDALISM,Friday,SOUTHERN,NONE
2,5,2008,18,DRUG\/NARCOTIC,Friday,NORTHERN,ARREST
27,11,2013,15,LARCENY\/THEFT,Wednesday,NORTHERN,NONE
11,12,2009,0,ASSAULT,Friday,MISSION,ARREST
26,12,2004,14,FRAUD,Sunday,NORTHERN,NONE
21,10,2007,6,OTHER OFFENSES,Sunday,MISSION,ARREST
30,5,2012,8,FRAUD,Wednesday,BAYVIEW,NONE
4,4,2015,13,NON-CRIMINAL,Saturday,INGLESIDE,NONE
5,5,2005,22,LARCENY\/THEFT,Thursday,CENTRAL,NONE
1,10,2013,9,LARCENY\/THEFT,Tuesday,SOUTHERN,NONE
11,9,2010,19,DRUG\/NARCOTIC,Saturday,TENDERLOIN,ARREST
24,1,2015,18,OTHER OFFENSES,Saturday,CENTRAL,NONE
22,3,2013,16,LARCENY\/THEFT,Friday,INGLESIDE,NONE
6,3,2015,22,OTHER OFFENSES,Friday,CENTRAL,NONE
23,8,2006,11,OTHER OFFENSES,Wednesday,BAYVIEW,ARREST
26,1,2014,7,NON-CRIMINAL,Sunday,CENTRAL,NONE
20,1,2015,16,NON-CRIMINAL,Tuesday,MISSION,ARREST
2,9,2008,23,OTHER OFFENSES,Tuesday,BAYVIEW,UNFOUNDED
29,12,2010,22,FRAUD,Wednesday,SOUTHERN,ARREST
25,7,2007,10,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE
21,2,2007,19,NON-CRIMINAL,Wednesday,BAYVIEW,NONE
22,7,2014,12,LARCENY\/THEFT,Tuesday,NORTHERN,NONE
26,8,2010,12,NON-CRIMINAL,Thursday,TARAVAL,NONE
30,10,2008,19,BURGLARY,Thursday,RICHMOND,NONE
7,8,2004,22,FRAUD,Saturday,NORTHERN,NONE
2,6,2010,16,OTHER OFFENSES,Wednesday,SOUTHERN,NONE
26,2,2006,0,LARCENY\/THEFT,Sunday,SOUTHERN,NONE
29,6,2007,8,ASSAULT,Friday,MISSION,NONE
14,8,2010,0,LARCENY\/THEFT,Saturday,NORTHERN,NONE
27,8,2006,2,ROBBERY,Sunday,SOUTHERN,NONE
29,6,2014,18,OTHER OFFENSES,Sunday,BAYVIEW,ARREST
1,9,2014,6,NON-CRIMINAL,Monday,NORTHERN,NONE
17,6,2011,14,OTHER OFFENSES,Friday,INGLESIDE,ARREST
17,12,2011,11,LARCENY\/THEFT,Saturday,BAYVIEW,ARREST
2,9,2014,14,OTHER OFFENSES,Tuesday,NORTHERN,ARREST
27,5,2003,14,ASSAULT,Tuesday,SOUTHERN,ARREST
17,3,2003,2,WEAPON LAWS,Monday,NORTHERN,ARREST
21,1,2009,21,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE
7,6,2004,19,VANDALISM,Monday,MISSION,NONE
7,8,2012,21,NON-CRIMINAL,Tuesday,CENTRAL,NONE
20,4,2012,18,BURGLARY,Friday,SOUTHERN,NONE
27,3,2011,18,OTHER OFFENSES,Sunday,BAYVIEW,ARREST
29,4,2014,18,LARCENY\/THEFT,Tuesday,CENTRAL,NONE
30,7,2006,17,DRUG\/NARCOTIC,Sunday,SOUTHERN,ARREST
9,7,2003,11,LARCENY\/THEFT,Wednesday,NORTHERN,NONE
12,8,2012,19,ASSAULT,Sunday,BAYVIEW,ARREST
19,3,2012,3,LARCENY\/THEFT,Monday,MISSION,NONE
17,10,2009,16,WARRANTS,Saturday,NORTHERN,ARREST
24,12,2014,10,NON-CRIMINAL,Wednesday,PARK,ARREST
19,3,2007,10,LARCENY\/THEFT,Monday,BAYVIEW,NONE
2,5,2004,22,LARCENY\/THEFT,Sunday,RICHMOND,NONE
4,6,2005,21,NON-CRIMINAL,Saturday,SOUTHERN,NONE
17,9,2014,8,TRESPASS,Wednesday,SOUTHERN,ARREST
23,3,2006,9,OTHER OFFENSES,Thursday,TENDERLOIN,ARREST
23,12,2013,6,LARCENY\/THEFT,Monday,TENDERLOIN,ARREST
6,10,2005,17,STOLEN PROPERTY,Thursday,SOUTHERN,ARREST
9,9,2011,19,LARCENY\/THEFT,Friday,PARK,NONE
21,4,2011,22,LARCENY\/THEFT,Thursday,TARAVAL,NONE
12,7,2005,21,ASSAULT,Tuesday,CENTRAL,NONE
10,4,2005,20,ASSAULT,Sunday,MISSION,NONE
26,2,2006,12,FRAUD,Sunday,SOUTHERN,NOT PROSECUTED
20,3,2012,11,ASSAULT,Tuesday,INGLESIDE,ARREST
11,1,2005,4,WARRANTS,Tuesday,CENTRAL,ARREST
8,12,2003,11,FRAUD,Monday,NORTHERN,NONE
1,7,2010,12,OTHER OFFENSES,Thursday,NORTHERN,ARREST
25,11,2004,12,FORGERY\/COUNTERFEITING,Thursday,NORTHERN,NONE
2,11,2013,10,ARSON,Saturday,PARK,NONE
11,1,2012,14,BURGLARY,Wednesday,TARAVAL,NONE
1,11,2010,11,LARCENY\/THEFT,Monday,CENTRAL,NONE
12,10,2009,11,OTHER OFFENSES,Monday,SOUTHERN,ARREST
1,1,2012,0,MISSING PERSON,Sunday,RICHMOND,LOCATED
28,10,2004,0,PROSTITUTION,Thursday,CENTRAL,ARREST
