HAND,XCOORD,YCOORD
5,0.5787,0.27537
5,0.62021,0.3191
5,0.68525,0.34838
5,0.79447,0.37719
5,0.7443,0.40929
5,0.68448,0.42413
5,0.50277,0.40715
5,0.37323,0.39593
5,0.31005,0.39345
5,0.26281,0.40342
5,0.24575,0.43043
5,0.25396,0.46032
5,0.30149,0.47716
5,0.36784,0.48277
5,0.48019,0.50838
5,0.60365,0.54019
5,0.46978,0.56846
5,0.3217,0.59529
5,0.26027,0.607
5,0.21624,0.62326
5,0.20247,0.66285
5,0.21855,0.69107
5,0.27854,0.69201
5,0.33522,0.67878
5,0.47722,0.67252
5,0.6176,0.66312
5,0.52788,0.68617
5,0.37993,0.72563
5,0.34373,0.73549
5,0.29497,0.75179
5,0.28748,0.78974
5,0.30987,0.81632
5,0.35878,0.81422
5,0.39812,0.80275
5,0.55255,0.779
5,0.6818,0.76184
5,0.6318,0.8097
5,0.53596,0.85019
5,0.50296,0.86475
5,0.46065,0.8936
5,0.46098,0.92357
5,0.4785,0.93917
5,0.52265,0.93396
5,0.55884,0.92411
5,0.66731,0.88349
5,0.79789,0.84263
5,0.89879,0.83051
5,1.0107,0.81195
5,1.127,0.77282
6,1.1414,0.41333
6,1.0345,0.33418
6,0.90809,0.28987
6,0.7364,0.28115
6,0.65212,0.2716
6,0.58682,0.26665
6,0.55987,0.28286
6,0.55573,0.31725
6,0.62266,0.37872
6,0.71057,0.39502
6,0.78418,0.39117
6,0.84534,0.37224
6,0.70798,0.42422
6,0.49477,0.46128
6,0.36004,0.48576
6,0.29197,0.50316
6,0.24612,0.5182
6,0.23008,0.55637
6,0.24131,0.58861
6,0.30812,0.58667
6,0.37628,0.5727
6,0.50794,0.5603
6,0.65177,0.55439
6,0.47897,0.56628
6,0.31673,0.58813
6,0.2467,0.59703
6,0.2007,0.60693
6,0.18326,0.65543
6,0.20299,0.68569
6,0.25277,0.68768
6,0.32456,0.68045
6,0.48043,0.67592
6,0.65701,0.67592
6,0.53882,0.67936
6,0.383,0.68561
6,0.33161,0.68711
6,0.27342,0.69051
6,0.26067,0.72344
6,0.27355,0.75391
6,0.33556,0.76411
6,0.3921,0.76246
6,0.53628,0.76855
6,0.66979,0.76124
6,0.63396,0.76742
6,0.54852,0.77677
6,0.49184,0.77327
6,0.44882,0.76766
6,0.42715,0.78887
6,0.43837,0.82111
6,0.48336,0.83522
6,0.54356,0.84204
6,0.64316,0.8477
6,0.80819,0.86347
6,0.94881,0.86452
6,1.0916,0.82438
6,1.2255,0.77079
7,1.119,0.43471
7,0.99525,0.33451
7,0.90369,0.28758
7,0.74514,0.23933
7,0.6647,0.22827
7,0.60237,0.21845
7,0.57349,0.23369
7,0.56901,0.2709
7,0.6143,0.31525
7,0.69659,0.34042
7,0.79223,0.3854
7,0.75524,0.40458
7,0.68248,0.42482
7,0.49723,0.41954
7,0.37344,0.41199
7,0.30701,0.40916
7,0.26059,0.41665
7,0.24106,0.44864
7,0.24985,0.4719
7,0.30297,0.4937
7,0.36234,0.49744
7,0.47842,0.51749
7,0.60498,0.54621
7,0.48037,0.56534
7,0.31802,0.58148
7,0.26506,0.58838
7,0.2176,0.59888
7,0.20345,0.64451
7,0.21676,0.66934
7,0.27607,0.67813
7,0.32858,0.66769
7,0.48974,0.66463
7,0.61615,0.66466
7,0.53124,0.69081
7,0.38074,0.72622
7,0.3404,0.73077
7,0.29543,0.74381
7,0.28841,0.78349
7,0.30922,0.81094
7,0.35401,0.81299
7,0.40044,0.80551
7,0.55531,0.78172
7,0.6834,0.76718
7,0.62839,0.81887
7,0.55348,0.85017
7,0.49896,0.86158
7,0.4542,0.89829
7,0.45593,0.92248
7,0.47086,0.93776
7,0.5212,0.93838
7,0.57932,0.92147
7,0.66736,0.8863
7,0.80628,0.85024
7,0.90813,0.83839
7,1.0197,0.81308
7,1.1203,0.78056
8,1.0865,0.42514
8,0.99177,0.3465
8,0.89065,0.29542
8,0.75033,0.24297
8,0.67947,0.21587
8,0.61549,0.19744
8,0.58938,0.20543
8,0.58095,0.23749
8,0.61986,0.29552
8,0.69705,0.33594
8,0.78713,0.38729
8,0.73794,0.41779
8,0.67447,0.43562
8,0.49786,0.42459
8,0.36665,0.41567
8,0.31347,0.41265
8,0.27027,0.41867
8,0.2463,0.44893
8,0.25531,0.47988
8,0.30568,0.49359
8,0.35867,0.49816
8,0.48532,0.51913
8,0.60588,0.55198
8,0.47318,0.56965
8,0.31663,0.58928
8,0.26583,0.59283
8,0.21689,0.60762
8,0.2048,0.64398
8,0.22331,0.67446
8,0.27804,0.67765
8,0.33265,0.66825
8,0.48083,0.66654
8,0.61897,0.66996
8,0.52528,0.69058
8,0.38043,0.71785
8,0.34381,0.72148
8,0.28984,0.73882
8,0.28397,0.77592
8,0.30164,0.8
8,0.35362,0.79972
8,0.3982,0.79545
8,0.5468,0.77648
8,0.68237,0.77488
8,0.62894,0.82849
8,0.54969,0.86022
8,0.50212,0.87674
8,0.46262,0.90521
8,0.46385,0.93525
8,0.48535,0.95348
8,0.52874,0.94591
8,0.58132,0.92684
8,0.66679,0.89582
8,0.78875,0.84859
8,0.89535,0.83891
8,1.0212,0.81258
8,1.1276,0.76354
9,1.0514,0.43257
9,0.96374,0.36014
9,0.87773,0.30718
9,0.72732,0.25943
9,0.66565,0.23916
9,0.61001,0.2233
9,0.58016,0.23413
9,0.57456,0.26865
9,0.61256,0.31617
9,0.68791,0.35277
9,0.76626,0.38934
9,0.7276,0.41674
9,0.67678,0.4293
9,0.50558,0.39827
9,0.38998,0.38009
9,0.32542,0.37034
9,0.2805,0.37385
9,0.26129,0.39803
9,0.26762,0.42793
9,0.31733,0.44983
9,0.38042,0.4626
9,0.48269,0.49441
9,0.59105,0.53514
9,0.47262,0.53199
9,0.32287,0.54266
9,0.26592,0.5418
9,0.22102,0.54831
9,0.20493,0.58294
9,0.21576,0.61278
9,0.27134,0.62414
9,0.32675,0.62053
9,0.47379,0.63535
9,0.5895,0.66251
9,0.51826,0.72473
9,0.39764,0.79351
9,0.36184,0.80889
9,0.31125,0.84093
9,0.31613,0.87533
9,0.33881,0.89306
9,0.38961,0.87899
9,0.42237,0.86065
9,0.56564,0.80659
9,0.66862,0.76798
9,0.62419,0.81493
9,0.54835,0.86822
9,0.50815,0.89115
9,0.47555,0.92448
9,0.48186,0.95287
9,0.49993,0.96015
9,0.53725,0.94775
9,0.58651,0.92921
9,0.66838,0.88035
9,0.76672,0.8298
9,0.87149,0.81664
9,0.98219,0.79891
9,1.0971,0.75716
10,1.0032,0.44176
10,0.94274,0.37653
10,0.88932,0.32085
10,0.79798,0.22579
10,0.75151,0.17275
10,0.72179,0.12908
10,0.68875,0.13517
10,0.67275,0.16855
10,0.68456,0.2139
10,0.72148,0.274
10,0.7658,0.36434
10,0.73621,0.41039
10,0.65651,0.43245
10,0.48227,0.41608
10,0.37035,0.41107
10,0.32469,0.40494
10,0.28199,0.41118
10,0.26302,0.43221
10,0.26903,0.4611
10,0.31079,0.48109
10,0.36745,0.48427
10,0.46998,0.50599
10,0.57,0.54156
10,0.45626,0.5918
10,0.32599,0.64507
10,0.28211,0.66238
10,0.23843,0.6921
10,0.23895,0.72245
10,0.2545,0.74427
10,0.30816,0.73371
10,0.35334,0.71086
10,0.47978,0.67697
10,0.58026,0.65871
10,0.50229,0.70143
10,0.38871,0.76132
10,0.34889,0.77441
10,0.30517,0.80138
10,0.31112,0.82613
10,0.32531,0.84935
10,0.37069,0.83891
10,0.41325,0.8244
10,0.53399,0.77957
10,0.63842,0.75019
10,0.58272,0.80358
10,0.52547,0.84733
10,0.48984,0.86312
10,0.45725,0.89542
10,0.46043,0.92021
10,0.4772,0.93235
10,0.51298,0.92484
10,0.55953,0.90197
10,0.63606,0.85513
10,0.73328,0.80794
10,0.83399,0.80347
10,0.93166,0.78249
10,1.0277,0.74636
11,0.98671,0.45979
11,0.90653,0.39145
11,0.85231,0.33051
11,0.78082,0.2377
11,0.74819,0.18665
11,0.72201,0.143
11,0.69279,0.14233
11,0.674,0.17165
11,0.68296,0.22243
11,0.70916,0.28558
11,0.73497,0.35427
11,0.71165,0.42784
11,0.64066,0.44651
11,0.48068,0.40318
11,0.38499,0.37693
11,0.32724,0.36588
11,0.29773,0.36938
11,0.2813,0.38493
11,0.28627,0.41314
11,0.31422,0.43183
11,0.37029,0.44693
11,0.4557,0.48082
11,0.55687,0.54786
11,0.44073,0.594
11,0.32746,0.61943
11,0.27646,0.63115
11,0.24142,0.65376
11,0.23927,0.68425
11,0.24929,0.70029
11,0.29802,0.70094
11,0.34762,0.68911
11,0.46199,0.66793
11,0.57013,0.65606
11,0.49056,0.71732
11,0.39474,0.77185
11,0.35434,0.79129
11,0.31763,0.81794
11,0.32408,0.84487
11,0.34519,0.86168
11,0.38194,0.85453
11,0.42984,0.82726
11,0.52636,0.78253
11,0.61785,0.74998
11,0.60068,0.83513
11,0.55498,0.89042
11,0.52183,0.9257
11,0.50978,0.95827
11,0.5198,0.9743
11,0.5404,0.97855
11,0.56534,0.96081
11,0.60393,0.92731
11,0.65281,0.86668
11,0.72603,0.79662
11,0.79219,0.78736
11,0.86734,0.76898
11,0.93782,0.73774
12,1.0241,0.43878
12,0.94774,0.36942
12,0.88931,0.31852
12,0.76769,0.23183
12,0.7152,0.19012
12,0.67629,0.15317
12,0.65046,0.15582
12,0.63639,0.18443
12,0.65523,0.24537
12,0.69998,0.29758
12,0.76276,0.36218
12,0.75131,0.41965
12,0.66597,0.44571
12,0.48293,0.40969
12,0.37551,0.38992
12,0.32555,0.38314
12,0.28147,0.38856
12,0.26749,0.41111
12,0.27465,0.44003
12,0.31079,0.45875
12,0.36831,0.46717
12,0.4604,0.49883
12,0.57935,0.56123
12,0.45453,0.58974
12,0.32222,0.61209
12,0.27052,0.62044
12,0.23532,0.64116
12,0.23333,0.67449
12,0.24364,0.69587
12,0.28762,0.69651
12,0.33629,0.68812
12,0.47147,0.67644
12,0.59448,0.6676
12,0.50578,0.71636
12,0.40208,0.75429
12,0.35178,0.77024
12,0.30586,0.79838
12,0.30696,0.82721
12,0.32791,0.84724
12,0.37347,0.84335
12,0.42227,0.82586
12,0.53805,0.79266
12,0.65376,0.76401
12,0.59969,0.83146
12,0.54151,0.86853
12,0.49411,0.89363
12,0.46637,0.92356
12,0.47514,0.94643
12,0.49321,0.9558
12,0.52216,0.94711
12,0.57404,0.92663
12,0.6444,0.88671
12,0.76526,0.81718
12,0.85495,0.80484
12,0.94782,0.78192
12,1.041,0.73778
13,1.0778,0.42408
13,0.976,0.34916
13,0.89875,0.29967
13,0.74797,0.24374
13,0.6784,0.21549
13,0.62732,0.19135
13,0.59785,0.20109
13,0.5924,0.2263
13,0.62318,0.27803
13,0.71096,0.33867
13,0.79186,0.39464
13,0.75347,0.42642
13,0.68946,0.44448
13,0.48811,0.4093
13,0.37079,0.39168
13,0.31411,0.38941
13,0.26637,0.40003
13,0.24916,0.42249
13,0.25534,0.44713
13,0.30808,0.4712
13,0.36009,0.48034
13,0.46121,0.50706
13,0.60187,0.56015
13,0.46655,0.5833
13,0.32744,0.59667
13,0.26959,0.60445
13,0.21901,0.62519
13,0.21389,0.65704
13,0.22679,0.68303
13,0.28189,0.68702
13,0.33833,0.68429
13,0.47278,0.6778
13,0.61933,0.68071
13,0.51446,0.71405
13,0.40777,0.74415
13,0.34335,0.7539
13,0.29776,0.7744
13,0.29437,0.80783
13,0.31392,0.83349
13,0.36222,0.83449
13,0.42307,0.81992
13,0.54186,0.79921
13,0.68579,0.78228
13,0.61768,0.81883
13,0.54426,0.84899
13,0.48665,0.86175
13,0.45441,0.88327
13,0.45229,0.90831
13,0.46297,0.92277
13,0.50969,0.92551
13,0.56248,0.9163
13,0.65597,0.88851
13,0.79863,0.84503
13,0.89765,0.82862
13,1.0158,0.79463
13,1.1067,0.74701
14,1.1358,0.41549
14,1.0028,0.33657
14,0.90661,0.29864
14,0.73861,0.26472
14,0.64771,0.2492
14,0.59537,0.23233
14,0.56708,0.25218
14,0.56654,0.28913
14,0.61966,0.33758
14,0.71212,0.37231
14,0.79313,0.39565
14,0.74618,0.42404
14,0.67876,0.43827
14,0.48876,0.41492
14,0.36803,0.40004
14,0.29089,0.40274
14,0.2482,0.41849
14,0.2362,0.44406
14,0.24312,0.46459
14,0.29603,0.48845
14,0.3615,0.49371
14,0.47248,0.51816
14,0.61148,0.5632
14,0.47509,0.57243
14,0.32635,0.5809
14,0.26346,0.58597
14,0.21771,0.60723
14,0.20627,0.6398
14,0.21404,0.6708
14,0.26902,0.67691
14,0.33395,0.6752
14,0.47278,0.67455
14,0.63328,0.68094
14,0.53135,0.70322
14,0.40482,0.72573
14,0.34179,0.72904
14,0.2959,0.74857
14,0.28446,0.78112
14,0.30111,0.81317
14,0.3561,0.81928
14,0.41843,0.80723
14,0.54754,0.79506
14,0.6979,0.78471
14,0.6242,0.80821
14,0.5521,0.82985
14,0.48733,0.8333
14,0.45045,0.85561
14,0.4453,0.87888
14,0.45425,0.90276
14,0.49891,0.91147
14,0.56368,0.908
14,0.65876,0.88803
14,0.81805,0.85762
14,0.93598,0.83757
14,1.0458,0.80412
14,1.1727,0.74291
15,1.1513,0.42101
15,1.0409,0.34701
15,0.91005,0.29223
15,0.74283,0.25941
15,0.65116,0.25785
15,0.59303,0.24707
15,0.57033,0.25743
15,0.56906,0.2952
15,0.61496,0.34085
15,0.71922,0.37214
15,0.80283,0.38856
15,0.77005,0.41031
15,0.70832,0.42846
15,0.47208,0.44116
15,0.34698,0.45065
15,0.28301,0.46175
15,0.23603,0.48618
15,0.22873,0.51355
15,0.23687,0.5292
15,0.28659,0.54948
15,0.35279,0.54542
15,0.46425,0.54756
15,0.63606,0.56752
15,0.47596,0.56299
15,0.33085,0.5683
15,0.26108,0.57259
15,0.21524,0.58618
15,0.19976,0.62662
15,0.21214,0.65278
15,0.26837,0.6619
15,0.33286,0.65973
15,0.47675,0.66346
15,0.64443,0.67471
15,0.53217,0.68878
15,0.39867,0.70774
15,0.33594,0.7098
15,0.28651,0.7236
15,0.27451,0.76204
15,0.2908,0.79334
15,0.3468,0.79888
15,0.40941,0.79504
15,0.54536,0.78669
15,0.69217,0.77948
15,0.6301,0.79226
15,0.54835,0.80625
15,0.48217,0.81032
15,0.44527,0.82335
15,0.43617,0.85084
15,0.44655,0.87354
15,0.49025,0.88342
15,0.55487,0.88304
15,0.64967,0.87722
15,0.83003,0.86077
15,0.95638,0.84224
15,1.0599,0.80357
15,1.1789,0.75318
16,1.1784,0.41361
16,1.0441,0.32812
16,0.9296,0.2848
16,0.75096,0.27479
16,0.65813,0.27732
16,0.59667,0.27155
16,0.56926,0.28902
16,0.57394,0.32417
16,0.63461,0.36897
16,0.72062,0.38891
16,0.82062,0.3769
16,0.75615,0.39723
16,0.70843,0.41896
16,0.47335,0.45135
16,0.346,0.48267
16,0.27587,0.49943
16,0.23768,0.53019
16,0.229,0.55271
16,0.24084,0.57839
16,0.29107,0.58074
16,0.36338,0.57506
16,0.47447,0.5609
16,0.66028,0.56142
16,0.47282,0.56838
16,0.31913,0.58741
16,0.24868,0.59303
16,0.19544,0.61678
16,0.19073,0.64848
16,0.21005,0.67581
16,0.26043,0.68373
16,0.33258,0.67248
16,0.47183,0.66869
16,0.67068,0.67072
16,0.53144,0.67451
16,0.39973,0.68181
16,0.33109,0.68552
16,0.27925,0.6925
16,0.26169,0.73012
16,0.28126,0.76675
16,0.34269,0.77065
16,0.40395,0.76898
16,0.54505,0.76515
16,0.69373,0.76668
16,0.61952,0.77055
16,0.54907,0.77618
16,0.48027,0.77433
16,0.43581,0.77926
16,0.42539,0.80554
16,0.43361,0.83504
16,0.47296,0.84696
16,0.54747,0.85423
16,0.6533,0.85135
16,0.82791,0.85033
16,0.93925,0.84543
16,1.0704,0.81773
16,1.1953,0.76234
17,1.0265,0.45534
17,0.92898,0.37385
17,0.87769,0.32809
17,0.77031,0.22945
17,0.72664,0.18768
17,0.68884,0.14557
17,0.65976,0.15313
17,0.64852,0.18915
17,0.66598,0.23683
17,0.70607,0.29356
17,0.75625,0.37184
17,0.74559,0.41816
17,0.66596,0.4448
17,0.4682,0.41765
17,0.36833,0.39971
17,0.31522,0.39978
17,0.27732,0.40782
17,0.26255,0.43373
17,0.27255,0.45381
17,0.31203,0.4737
17,0.36253,0.47968
17,0.45538,0.50392
17,0.57489,0.55615
17,0.45521,0.57915
17,0.32508,0.59979
17,0.26953,0.60885
17,0.23384,0.63003
17,0.2279,0.65544
17,0.23953,0.67838
17,0.28701,0.68307
17,0.34109,0.67411
17,0.47017,0.66089
17,0.58841,0.66452
17,0.49637,0.70661
17,0.3995,0.74159
17,0.34698,0.75194
17,0.29953,0.77381
17,0.30144,0.80762
17,0.32026,0.8272
17,0.36715,0.82159
17,0.41935,0.80536
17,0.53281,0.77681
17,0.63933,0.75603
17,0.59719,0.84543
17,0.55531,0.88762
17,0.50862,0.92271
17,0.49175,0.96349
17,0.49985,0.9763
17,0.51489,0.98136
17,0.54527,0.97079
17,0.59508,0.93846
17,0.65443,0.89233
17,0.76179,0.80808
17,0.84373,0.79607
17,0.9339,0.77325
17,1.0275,0.73256
18,1.096,0.43042
18,0.96368,0.34317
18,0.89175,0.30023
18,0.73729,0.25067
18,0.65806,0.24364
18,0.60267,0.22704
18,0.57819,0.24502
18,0.57441,0.26882
18,0.62084,0.32152
18,0.70676,0.35608
18,0.78427,0.38999
18,0.74229,0.4151
18,0.68742,0.43012
18,0.48277,0.40667
18,0.37153,0.39687
18,0.30931,0.39276
18,0.26554,0.40309
18,0.25211,0.42973
18,0.25656,0.45253
18,0.30267,0.47526
18,0.36508,0.48101
18,0.4617,0.50759
18,0.60057,0.55239
18,0.47324,0.5612
18,0.32597,0.57078
18,0.26333,0.57674
18,0.22096,0.59857
18,0.21225,0.62297
18,0.22242,0.65173
18,0.27805,0.65664
18,0.34005,0.65909
18,0.4766,0.65748
18,0.62173,0.6715
18,0.5192,0.69231
18,0.398,0.7104
18,0.33574,0.71963
18,0.29133,0.73837
18,0.28303,0.76606
18,0.30386,0.8002
18,0.35006,0.79624
18,0.41435,0.79008
18,0.53801,0.77838
18,0.67375,0.7702
18,0.61478,0.84739
18,0.55901,0.88251
18,0.50245,0.91107
18,0.47482,0.94445
18,0.47907,0.96559
18,0.49566,0.97859
18,0.52997,0.97274
18,0.59391,0.94996
18,0.67043,0.90731
18,0.80864,0.83714
18,0.9159,0.81409
18,1.0111,0.78752
18,1.1168,0.73798
19,1.0224,0.4395
19,0.93583,0.36386
19,0.86868,0.31909
19,0.74727,0.23996
19,0.69395,0.20851
19,0.64712,0.167
19,0.62454,0.18215
19,0.6138,0.21446
19,0.64046,0.27358
19,0.69254,0.3215
19,0.76091,0.38035
19,0.74709,0.42329
19,0.66023,0.45384
19,0.47705,0.41345
19,0.37599,0.39383
19,0.32373,0.38617
19,0.28284,0.39422
19,0.26696,0.4153
19,0.27186,0.44108
19,0.30209,0.46049
19,0.36352,0.4717
19,0.45811,0.50141
19,0.58175,0.56214
19,0.46227,0.57083
19,0.32878,0.57588
19,0.27782,0.57746
19,0.23585,0.59229
19,0.22127,0.62259
19,0.23864,0.65731
19,0.28367,0.66243
19,0.33471,0.656
19,0.47381,0.66366
19,0.59781,0.67445
19,0.50657,0.70639
19,0.39552,0.7317
19,0.34248,0.74198
19,0.29804,0.75918
19,0.29116,0.7935
19,0.31253,0.82053
19,0.36011,0.81842
19,0.41471,0.80283
19,0.53289,0.78491
19,0.65685,0.77
19,0.6162,0.85032
19,0.56295,0.90084
19,0.51196,0.93297
19,0.49136,0.97482
19,0.50275,0.99053
19,0.51621,0.99754
19,0.54794,0.98595
19,0.60333,0.95243
19,0.66865,0.90454
19,0.78635,0.82889
19,0.8789,0.80619
19,0.96769,0.77662
19,1.0475,0.73381
20,1.0375,0.45079
20,0.94568,0.36429
20,0.88787,0.31558
20,0.76208,0.2312
20,0.71124,0.1922
20,0.66463,0.1581
20,0.64259,0.16569
20,0.63403,0.19881
20,0.65237,0.24157
20,0.69928,0.29256
20,0.76773,0.36353
20,0.74822,0.42039
20,0.66838,0.44216
20,0.47814,0.42055
20,0.36685,0.41086
20,0.3071,0.40955
20,0.26935,0.42213
20,0.25862,0.44282
20,0.26033,0.46135
20,0.30185,0.48126
20,0.36245,0.49184
20,0.45595,0.51403
20,0.58606,0.56037
20,0.45629,0.57234
20,0.3299,0.57996
20,0.27417,0.58662
20,0.22802,0.60931
20,0.22307,0.63502
20,0.23534,0.65587
20,0.2869,0.66425
20,0.34241,0.66064
20,0.46693,0.65749
20,0.60017,0.66112
20,0.50467,0.7078
20,0.39798,0.73988
20,0.34192,0.7511
20,0.30045,0.77261
20,0.30127,0.80336
20,0.32096,0.8278
20,0.36731,0.82353
20,0.41912,0.80738
20,0.53453,0.78208
20,0.65243,0.76465
20,0.60976,0.84436
20,0.55768,0.88502
20,0.51259,0.91393
20,0.48679,0.95193
20,0.4958,0.9756
20,0.51084,0.97977
20,0.54062,0.97121
20,0.59639,0.94309
20,0.65949,0.89862
20,0.77422,0.81959
20,0.85624,0.81026
20,0.94852,0.78633
20,1.0248,0.75051
21,0.98008,0.48574
21,0.9029,0.41109
21,0.83221,0.32756
21,0.78387,0.22744
21,0.76223,0.18092
21,0.75577,0.13075
21,0.73003,0.12556
21,0.70204,0.14826
21,0.69155,0.20763
21,0.70658,0.25385
21,0.73192,0.34966
21,0.71029,0.41337
21,0.61988,0.44837
21,0.47232,0.42792
21,0.37309,0.41442
21,0.33087,0.41309
21,0.29449,0.42397
21,0.27528,0.44401
21,0.28714,0.46973
21,0.33262,0.48369
21,0.36526,0.48257
21,0.46095,0.50711
21,0.54414,0.54408
21,0.44168,0.56915
21,0.32158,0.59038
21,0.28657,0.59317
21,0.24901,0.61343
21,0.2374,0.64016
21,0.24975,0.66055
21,0.30113,0.66178
21,0.33772,0.65218
21,0.4461,0.64851
21,0.55765,0.64829
21,0.48454,0.71866
21,0.38557,0.77467
21,0.35314,0.79413
21,0.31846,0.82444
21,0.32223,0.84879
21,0.34088,0.85902
21,0.38455,0.84439
21,0.42319,0.82265
21,0.52247,0.77709
21,0.61672,0.74149
21,0.59304,0.8344
21,0.55947,0.89734
21,0.53495,0.93394
